FIELD_NAME,DESCRIPTION,DATA_TYPE,INPUT_FIELD,CALCULATED_FIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC_VAL,"Survivor Percent of Primary Level Life XRD Benefit Form (enter as decimal, e.g. 0.5 not 50).  This field is required if FORM_CODE = 0, 8, 9, A, B, C, D, E, F, G, or H.",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPCNSF,"Survivor Percent of Normal Single Benefit Form (0 <= SPC_NSF <= 1, This field is required if FORM_CODE _NSF= 0, 8, 9, A, B, C, D, E, F, G, or H)",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPCNMF,"Survivor Percent of Normal Married Benefit Form (0 <= SPC_NMF <= 1, This field is required if FORM_CODE _NMF= 0, 8, 9, A, B, C, D, E, F, G, or H) ",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTHS,"Original Number of Months Certain in the Primary Level Life XRD Benefit Form (This field is required if FORM_CODE = 1, 4, 5, 6, A, B, C, D, or E)",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTHSREM,Number of Months Remaining in Certain Period at DOPT,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTHSNSF,"Original Number of Months Certain in the Normal Single Benefit Form (This field is required if FORM_CODE _NSF= 1, 4, 5, 6, A, B, C, D, or E)",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTHSNMF,"Original Number of Months Certain in the Normal Married Benefit Form (This field is required if FORM_CODE _NS\MF= 1, 4, 5, 6, A, B, C, D, or E)",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM_DESC,"Form of Annuity Description for Primary Level Life XRD Valuation Benefit (SLA, ## YRS CER, ## C&C, ## YRS TMP, J&###%S, etc) ",TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BL,"Benefit Level for XRA Purposes (HIGH, MED, LOW, IMM, or NA)",TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDC,Mandatory Contributions WITHOUT Interest at DOPT,NUMBER,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
