FIELD_NAME,DESCRIPTION,DATA_TYPE,INPUT_FIELD,CALCULATED_FIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPVF_FORM_CODE_NMF,"Normal Married Form Code for NPVF function (SLA, JSC, JSP, JSN, JSJ, CTN)",TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML_DOTE,Months Late at DOTE,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL_ERA,Plan's Earliest Retirement Age Nearest Birthday,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL_EURA,Plan's Earliest Unreduced Retirement Age Nearest Birthday,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL_ERD,Plan's Earliest Retirement Date,DATE/TIME,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL_EURD,Plan's Earliest Unreduced Retirement Date,DATE/TIME,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERD,Earliest Retirement Date at DOPT,DATE/TIME,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURD,Earliest Unreduced Retirement Date at DOPT,DATE/TIME,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASH_BAL_DOPT,Cash Balance at DOPT,CURRENCY,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASH_BAL_INT,Interest Rate to Accumulate Cash Balance after DOPT,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASH_BAL_XRD,Cash Balance at XRD,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASH_BAL_FACT_XRD,Annuity Conversion Factor for Cash Balance at XRD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCOMP,Covered Compensation at DOPT,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERV_PROJ_NRD,Service Projected to NRD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS_FACTOR,Short Service Factor,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC_FACTOR,Accrual Factor,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJ_NRD_BEN,Projected Monthly Benefit at NRD,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAX_OFFSET,Offset to Maximum Guaanteed Benefit Due to Pre-DOPT Partial Distribution,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAX_OFFSET_NSF,NSF Offset to Maximum Guaranteed Benefit Due to Pre-DOPT Partial Distribution,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML_ARD,Months Late at ARD (for Post-DOPT retirees),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRF_ARD,Late Retirement Factor at ARD (for Post-DOPT retirees),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARD_PMB,Plan Monthly Benefit at ARD (for Post-DOPT retirees),CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME_ARD_MAXLIM,Months Early for Maximum Guaranteed Benefit at ARD (for Post-DOPT retirees),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERF_ARD_MAXLIM,Early Retirement Factor for Maximum Guaranteed Benefit at ARD (for Post-DOPT retirees),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML_ARD_MAXLIM,Months Late for Maximum Guaranteed Benefit at ARD (for Post-DOPT retirees),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRF_ARD_MAXLIM,Late Retirement Factor for Maximum Guaranteed Benefit at ARD (for Post-DOPT retirees),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFCF_ARD_MAXLIM,Benefit Form Conversion Factor for Maximum Guaranteed Benefit at ARD (for Post-DOPT retirees),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXLIM_ARD,Maximum Guaranteed Benefit at ARD (for Post-DOPT retirees),CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARD_MB_TITLE_IV,Title IV Monthly Benefit at ARD (for post-DOPT retirees),CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARD_MB_4022C,4022(c) Monthly Benefit at ARD (for post-DOPT retirees),CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNRA,Beneficiary's Age at Normal Retirement Date,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFCF_NRD,Benefit Form Conversion Factor at NRD (for QPSA Calculation),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASH_BAL_NRD,Cash Balance at NRD,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASH_BAL_FACT_NRD,Annuity Conversion Factor for Cash Balance at NRD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME_NRD_MAXLIM,Months Early for Maximum Guaranteed Benefit at NRD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERF_NRD_MAXLIM,Early Retirement Factor for Maximum Guaranteed Benefit at NRD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFCF_NRD_MAXLIM,Benefit Form Conversion Factor for Maximum Guaranteed Benefit at NRD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXLIM_NRD,Maximum Guaranteed Benefit at NRD,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML_EURD,Months Late at EURD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRF_EURD,Late Retirement Factor at EURD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANB_EURD,Participant's Age Nearest Birthday at EURD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANB_EURD,Beneficiary's Age Nearest Birthday at EURD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFCF_EURD,Benefit Form Conversion Factor at EURD (for QPSA Calculation),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASH_BAL_EURD,Cash Balance at EURD,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASH_BAL_FACT_EURD,Annuity Conversion Factor for Cash Balance at EURD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURD_PMB,Plan Monthly Benefit at EURD,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME_EURD_MAXLIM,Months Early for Maximum Guaranteed Benefit at EURD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERF_EURD_MAXLIM,Early Retirement Factor for Maximum Guaranteed Benefit at EURD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML_EURD_MAXLIM,Months Late for Maximum Guaranteed Benefit at EURD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRF_EURD_MAXLIM,Late Retirement Factor for Maximum Guaranteed Benefit at EURD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFCF_EURD_MAXLIM,Benefit Form Conversion Factor for Guaranteed Benefit at EURD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASH_BAL_ERD,Cash Balance at ERD,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASH_BAL_FACT_ERD,Annuity Conversion Factor for Cash Balance at ERD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXLIM_EURD,Maximum Guaranteed Benefit at EURD,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML_ERD,Months Late at ERD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRF_ERD,Late Retirement Factor at ERD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANB_ERD,Participant's Age Nearest Birthday at ERD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANB_ERD,Beneficiary's Age Nearest Birthday at ERD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFCF_ERD,Benefit Form Conversion Factor at ERD (for QPSA Calculation),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERD_PMB,Plan Monthly Benefit at ERD,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXLIM_ERD,Maximum Guaranteed Benefit at ERD,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME_ERD_MAXLIM,Months Early for Maximum Guaranteed Benefit at ERD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERF_ERD_MAXLIM,Early Retirement Factor for Maximum Guaranteed Benefit at ERD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFCF_ERD_MAXLIM,Benefit Form Conversion Factor for Maximum Guaranteed Benefit at ERD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRD_PMB,XRD Plan Monthly Benefit at DOPT,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROB_DEATH,Probability that Participant Dies Between DOPT and XRD using PBGC annuity mortality,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVF_QPSA_ANN,Present Value Factor for QPSA Benefit Using Surviving Spouse PBGC Mortality and Annuity Assumptions,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVF_QPSA_LS,Present Value Factor for QPSA Benefit Using Surviving Spouse PBGC Mortality and Lump Sum Assumptions,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS_QPSA,"Lump Sum Value of QPSA Benefit at DOPT - this field is generally populated when a QPSA calculation is run in a BSRS/BET program for a participant record but must be populated for participant records for which the participant died after DOPT and the lump sum value is greater than $5,000 and there is actual surviving spouse data available and the surviving spouse is still deferred the amount in this field gets populated into the LS_TERM field of the beneficiary record created by Data Validation which is then loaded to Genesis.",CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDOB_LS,Spouse Date of Birth Used for Calculating the Lump Sum (for LS_TERM),DATE/TIME,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFCF_XRD_LS,Benefit Form Conversion Factor Used for Calculating the Lump Sum,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFCF_RATIO_LS,Ratio of Benefit Form Conversion Factors Used for Calculating the Lump Sum,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRD_MB_LS,XRD Monthly Benefit Used for Calculating the Lump sum (benefit after applying form conversion factor),CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUAR_RATIO,Guaranteed Ratio (Level Guaranteed Benefit / Level Plan Benefit),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERM_RATIO,Termination Ratio (Level Termination Benefit / Level Plan Benefit),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALE_MORT_TAB,Male Mortality Table Used For PVF_LEV_ANN,TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEM_MORT_TAB,Female Mortality Table Used For PVF_LEV_ANN,TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBGC_LS_TAB,PBGC Lump Sum Mortality Table User for PVF_LEV_LS,TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5A_4022C_AR,4022(c) Asset Allocation ratio for PC5A,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5A_4044_AR,4044 Asset Allocation ratio for PC5A,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5A_ANNUITY_PVMB,Present Value of PC5A Annuity benefit,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5A_FSS1_MB,Initial XRD Free Surviving Spouse Benefi for PC5A,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5A_FSS2_MB,Secondary XRD Free Surviving Spouse Benefi for PC5A,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5A_LEVEL_MB,Primary Level Life XRD PC5A monthly benefit,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5A_LOAD_PVMB,PC5A Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5A_LSDB_PVMB,Present Value of PC5A Lump Sum Death benefit,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5A_MED_PVMB,XRD Medicare Benefit for PC5A,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5A_QPSA_PVMB,Present Value of PC5A QPSA benefit,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5A_SUPP1_MB,1st XRD Supplement for PC5A,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5A_SUPP2_MB,2nd XRD Supplement for PC5A,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5A_SUPP3_MB,3rd XRD Supplement for PC5A,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5A_Total_PV,Total Present Value for PC5A,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5B_4022C_AR,4022(c) Asset Allocation ratio for PC5B,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5B_4044_AR,4044 Asset Allocation ratio for PC5B,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5B_ANNUITY_PVMB,Present Value of PC5B Annuity benefit,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5B_FSS1_MB,Initial XRD Free Surviving Spouse Benefi for PC5B,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5B_FSS2_MB,Secondary XRD Free Surviving Spouse Benefi for PC5B,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5B_LEVEL_MB,Primary Level Life XRD PC5B monthly benefit,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5B_LOAD_PVMB,PC5B Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5B_LSDB_PVMB,Present Value of PC5B Lump Sum Death benefit,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5B_MED_PVMB,XRD Medicare Benefit for PC5B,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5B_QPSA_PVMB,Present Value of PC5B QPSA benefit,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5B_SUPP1_MB,1st XRD Supplement for PC5B,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5B_SUPP2_MB,2nd XRD Supplement for PC5B,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5B_SUPP3_MB,3rd XRD Supplement for PC5B,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5B_Total_PV,Total Present Value for PC5B,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5C_4022C_AR,4022(c) Asset Allocation ratio for PC5C,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5C_4044_AR,4044 Asset Allocation ratio for PC5C,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5C_ANNUITY_PVMB,Present Value of PC5C Annuity benefit,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5C_FSS1_MB,Initial XRD Free Surviving Spouse Benefi for PC5C,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5C_FSS2_MB,Secondary XRD Free Surviving Spouse Benefi for PC5C,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5C_LEVEL_MB,Primary Level Life XRD PC5C monthly benefit,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5C_LOAD_PVMB,PC5C Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5C_LSDB_PVMB,Present Value of PC5C Lump Sum Death benefit,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5C_MED_PVMB,XRD Medicare Benefit for PC5C,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5C_QPSA_PVMB,Present Value of PC5C QPSA benefit,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5C_SUPP1_MB,1st XRD Supplement for PC5C,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5C_SUPP2_MB,2nd XRD Supplement for PC5C,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5C_SUPP3_MB,3rd XRD Supplement for PC5C,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5C_Total_PV,Total Present Value for PC5C,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5D_4022C_AR,4022(c) Asset Allocation ratio for PC5D,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5D_4044_AR,4044 Asset Allocation ratio for PC5D,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5D_ANNUITY_PVMB,Present Value of PC5D Annuity benefit,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5D_FSS1_MB,Initial XRD Free Surviving Spouse Benefi for PC5D,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5D_FSS2_MB,Secondary XRD Free Surviving Spouse Benefi for PC5D,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5D_LEVEL_MB,Primary Level Life XRD PC5D monthly benefit,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5D_LOAD_PVMB,PC5D Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5D_LSDB_PVMB,Present Value of PC5D Lump Sum Death benefit,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5D_MED_PVMB,XRD Medicare Benefit for PC5D,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5D_QPSA_PVMB,Present Value of PC5D QPSA benefit,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5D_SUPP1_MB,1st XRD Supplement for PC5D,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5D_SUPP2_MB,2nd XRD Supplement for PC5D,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5D_SUPP3_MB,3rd XRD Supplement for PC5D,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5D_Total_PV,Total Present Value for PC5D,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5E_4022C_AR,4022(c) Asset Allocation ratio for PC5E,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5E_4044_AR,4044 Asset Allocation ratio for PC5E,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5E_ANNUITY_PVMB,Present Value of PC5E Annuity benefit,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5E_FSS1_MB,Initial XRD Free Surviving Spouse Benefi for PC5E,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5E_FSS2_MB,Secondary XRD Free Surviving Spouse Benefi for PC5E,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5E_LEVEL_MB,Primary Level Life XRD PC5E monthly benefit,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5E_LOAD_PVMB,PC5E Expense Load,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5E_LSDB_PVMB,Present Value of PC5E Lump Sum Death benefit,CURRENCY,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
